id,tot_ab,so_rate,walk_rate,avg,obp,slg,ops,ncaa,ccbl,inf,of,c,dh,pct_power5,position
600021,324,0.2777777777777778,0.1728395061728395,0.3055555555555556,0.5185185185185185,0.49382716049382713,1.0123456790123457,0.6450617283950617,0.3549382716049383,0,0,1,0,0,c
600394,343,0.3236151603498542,0.15743440233236153,0.27113702623906705,0.4868804664723032,0.36443148688046645,0.8513119533527697,0.6618075801749271,0.33819241982507287,1,0,0,0,0,inf
601027,177,0.3446327683615819,0.13559322033898305,0.2824858757062147,0.4350282485875706,0.3333333333333333,0.768361581920904,0.7796610169491526,0.22033898305084745,0,1,0,0,0.7796610169491526,of
601069,60,0.25,0.1,0.25,0.35,0.31666666666666665,0.6666666666666666,0,1,0,0,1,0,0,c
602460,84,0.4166666666666667,0.17857142857142858,0.17857142857142858,0.36904761904761907,0.2857142857142857,0.6547619047619048,0.5595238095238095,0.44047619047619047,0,0,1,0,0.5595238095238095,c
602938,270,0.2,0.14074074074074075,0.3074074074074074,0.4740740740740741,0.48148148148148145,0.9555555555555555,0.6037037037037037,0.3962962962962963,1,0,0,0,0.6037037037037037,inf
603415,125,0.184,0.112,0.296,0.416,0.368,0.784,0,1,0,1,0,0,0,of
603519,582,0.27491408934707906,0.12199312714776632,0.24914089347079038,0.3917525773195876,0.3487972508591065,0.7405498281786942,0.6597938144329897,0.3402061855670103,1,0,0,0,0.6597938144329897,inf
603547,208,0.2692307692307692,0.10096153846153846,0.2548076923076923,0.3798076923076923,0.40865384615384615,0.7884615384615384,0.33653846153846156,0.6634615384615384,0,0,1,0,0.33653846153846156,c
603568,227,0.29955947136563876,0.1145374449339207,0.3303964757709251,0.4669603524229075,0.6211453744493393,1.0881057268722467,1,0,1,0,0,0,0,inf
603876,212,0.28773584905660377,0.14150943396226415,0.33962264150943394,0.5188679245283019,0.6650943396226415,1.1839622641509435,1,0,0,1,0,0,0,of
604085,322,0.13664596273291926,0.046583850931677016,0.2950310559006211,0.36335403726708076,0.391304347826087,0.7546583850931677,0.717391304347826,0.2826086956521739,0,0,1,0,0.717391304347826,c
604381,260,0.1423076923076923,0.18461538461538463,0.22692307692307692,0.45,0.3,0.75,0.6846153846153846,0.3153846153846154,0,0,1,0,0.6846153846153846,c
604389,357,0.17366946778711484,0.13725490196078433,0.3697478991596639,0.5994397759103641,0.5602240896358543,1.1596638655462184,0.6078431372549019,0.39215686274509803,0,1,0,0,0,of
604738,124,0.3387096774193548,0.14516129032258066,0.25806451612903225,0.4274193548387097,0.45161290322580644,0.8790322580645161,0.532258064516129,0.46774193548387094,0,0,1,0,0.532258064516129,c
605058,64,0.234375,0.265625,0.40625,0.703125,0.578125,1.28125,0.9375,0.0625,1,0,0,0,0.9375,inf
605396,264,0.23863636363636365,0.15151515151515152,0.25,0.45454545454545453,0.38257575757575757,0.8371212121212122,0.7803030303030303,0.2196969696969697,0,1,0,0,0.7803030303030303,of
605442,356,0.19662921348314608,0.12078651685393259,0.2808988764044944,0.4241573033707865,0.35674157303370785,0.7808988764044944,0.5926966292134831,0.40730337078651685,0,0,1,0,0.5926966292134831,c
605788,277,0.23104693140794225,0.15162454873646208,0.2996389891696751,0.48736462093862815,0.4368231046931408,0.924187725631769,0.7472924187725631,0.2527075812274368,1,0,0,0,0.7472924187725631,inf
607386,319,0.23824451410658307,0.08463949843260188,0.23197492163009403,0.32601880877742945,0.322884012539185,0.6489028213166144,0.670846394984326,0.329153605015674,1,0,0,0,0.670846394984326,inf
